image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
139,139,1,TRUE,-1,0,1,0
140,140,1,TRUE,-1,0,1,0
141,141,2,TRUE,-1,0,1,0
142,142,2,TRUE,-1,0,1,0
143,143,2,TRUE,-1,0,1,0
144,144,3,TRUE,-1,0,1,0
145,145,2,TRUE,-1,0,1,0
146,146,2,TRUE,-1,0,1,0
147,147,3,TRUE,-1,0,1,0
148,148,2,TRUE,-1,0,1,0
149,149,3,TRUE,-1,0,1,0
150,150,2,TRUE,-1,0,1,0
151,151,2,TRUE,-1,0,1,0
152,152,2,TRUE,-1,0,1,0
153,153,2,TRUE,-1,0,1,0
154,154,3,TRUE,-1,0,1,0
155,155,1,TRUE,-1,0,1,0
156,156,2,TRUE,-1,0,1,0
157,157,2,TRUE,-1,0,1,0
158,158,2,TRUE,-1,0,1,0
159,159,2,TRUE,-1,0,1,0
160,160,2,TRUE,-1,0,1,0
161,161,2,TRUE,-1,0,1,0
162,162,3,TRUE,-1,0,1,0
163,163,2,TRUE,-1,0,1,0
164,164,1,TRUE,-1,0,1,0
165,165,2,TRUE,-1,0,1,0
166,166,2,TRUE,-1,0,1,0
167,167,3,TRUE,-1,0,1,0
168,168,3,TRUE,-1,0,1,0
169,169,2,TRUE,-1,0,1,0
170,170,1,TRUE,-1,0,1,0
171,171,2,TRUE,-1,0,1,0
172,172,3,TRUE,-1,0,1,0
173,173,2,TRUE,-1,0,1,0
174,174,2,TRUE,-1,0,1,0
175,175,2,TRUE,-1,0,1,0
176,176,3,TRUE,-1,0,1,0
177,177,3,TRUE,-1,0,1,0
178,178,1,TRUE,-1,0,1,0
179,179,3,TRUE,-1,0,1,0
180,180,3,TRUE,-1,0,1,0
181,181,2,TRUE,-1,0,1,0
182,182,3,TRUE,-1,0,1,0
183,183,2,TRUE,-1,0,1,0
184,184,2,TRUE,-1,0,1,0
185,185,2,TRUE,-1,0,1,0
186,186,2,TRUE,-1,0,1,0
187,187,1,TRUE,-1,0,1,0
188,188,1,TRUE,-1,0,1,0
189,189,2,TRUE,-1,0,1,0
190,190,2,TRUE,-1,0,1,0
