image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
1,1,4,TRUE,-1,1,1,0
2,2,5,TRUE,-1,1,1,0
3,3,5,TRUE,-1,1,1,0
4,4,5,TRUE,-1,1,1,0
5,5,3,TRUE,-1,1,1,0
6,6,5,TRUE,-1,1,1,0
7,7,4,TRUE,-1,1,1,0
8,8,5,TRUE,-1,1,1,0
9,9,5,TRUE,-1,1,1,0
10,10,4,TRUE,-1,1,1,0
11,11,4,TRUE,-1,1,1,0
12,12,4,TRUE,-1,1,1,0
13,13,5,TRUE,-1,1,1,0
14,14,4,TRUE,-1,1,1,0
15,15,4,TRUE,-1,1,1,0
16,16,5,TRUE,-1,1,1,0
17,17,5,TRUE,-1,1,1,0
18,18,4,TRUE,-1,1,1,0
19,19,3,TRUE,-1,1,1,0
20,20,5,TRUE,-1,1,1,0
21,21,4,TRUE,-1,1,1,0
22,22,3,TRUE,-1,1,1,0
23,23,4,TRUE,-1,1,1,0
24,24,3,TRUE,-1,1,1,0
25,25,5,TRUE,-1,1,1,0
26,26,4,TRUE,-1,1,1,0
27,27,3,TRUE,-1,1,1,0
28,28,3,TRUE,-1,1,1,0
29,29,5,TRUE,-1,1,1,0
30,30,4,TRUE,-1,1,1,0
31,31,5,TRUE,-1,1,1,0
32,32,5,TRUE,-1,1,1,0
33,33,4,TRUE,-1,1,1,0
34,34,4,TRUE,-1,1,1,0
35,35,3,TRUE,-1,1,1,0
36,36,5,TRUE,-1,1,1,0
37,37,3,TRUE,-1,1,1,0
38,38,5,TRUE,-1,1,1,0
39,39,5,TRUE,-1,1,1,0
40,40,4,TRUE,-1,1,1,0
41,41,3,TRUE,-1,1,1,0
42,42,1,TRUE,-1,1,1,0
43,43,2,TRUE,-1,1,1,0
44,44,3,TRUE,-1,1,1,0
45,45,2,TRUE,-1,1,1,0
46,46,4,TRUE,-1,1,1,0
47,47,4,TRUE,-1,1,1,0
48,48,5,TRUE,-1,1,1,0
49,49,4,TRUE,-1,1,1,0
50,50,5,TRUE,-1,1,1,0
51,51,5,TRUE,-1,1,1,0
52,52,5,TRUE,-1,1,1,0
53,53,5,TRUE,-1,1,1,0
54,54,2,TRUE,-1,1,1,0
55,55,3,TRUE,-1,1,1,0
56,56,5,TRUE,-1,1,1,0
57,57,3,TRUE,-1,1,1,0
58,58,4,TRUE,-1,1,1,0
59,59,5,TRUE,-1,1,1,0
60,60,4,TRUE,-1,1,1,0
61,61,4,TRUE,-1,1,1,0
62,62,5,TRUE,-1,1,1,0
63,63,5,TRUE,-1,1,1,0
64,64,5,TRUE,-1,1,1,0
65,65,4,TRUE,-1,1,1,0
66,66,5,TRUE,-1,1,1,0
67,67,4,TRUE,-1,1,1,0
68,68,5,TRUE,-1,1,1,0
69,69,3,TRUE,-1,1,1,0
70,70,4,TRUE,-1,1,1,0
71,71,5,TRUE,-1,1,1,0
72,72,2,TRUE,-1,1,1,0
73,73,5,TRUE,-1,1,1,0
74,74,5,TRUE,-1,1,1,0
75,75,5,TRUE,-1,1,1,0
76,76,4,TRUE,-1,1,1,0
77,77,4,TRUE,-1,1,1,0
78,78,4,TRUE,-1,1,1,0
79,79,3,TRUE,-1,1,1,0
80,80,4,TRUE,-1,1,1,0
81,81,4,TRUE,-1,1,1,0
82,82,5,TRUE,-1,1,1,0
83,83,5,TRUE,-1,1,1,0
84,84,5,TRUE,-1,1,1,0
85,85,4,TRUE,-1,1,1,0
86,86,5,TRUE,-1,1,1,0
87,87,3,TRUE,-1,1,1,0
88,88,4,TRUE,-1,1,1,0
89,89,3,TRUE,-1,1,1,0
90,90,5,TRUE,-1,1,1,0
91,91,5,TRUE,-1,1,1,0
92,92,4,TRUE,-1,1,1,0
93,93,3,TRUE,-1,1,1,0
94,94,3,TRUE,-1,1,1,0
95,95,4,TRUE,-1,1,1,0
96,96,3,TRUE,-1,1,1,0
97,97,5,TRUE,-1,1,1,0
98,98,5,TRUE,-1,1,1,0
99,99,5,TRUE,-1,1,1,0
100,100,5,TRUE,-1,1,1,0
101,101,5,TRUE,-1,1,1,0
102,102,4,TRUE,-1,1,1,0
103,103,5,TRUE,-1,1,1,0
104,104,4,TRUE,-1,1,1,0
105,105,5,TRUE,-1,1,1,0
106,106,5,TRUE,-1,1,1,0
107,107,1,TRUE,-1,1,1,0
108,108,5,TRUE,-1,1,1,0
109,109,1,TRUE,-1,1,1,0
110,110,4,TRUE,-1,1,1,0
111,111,5,TRUE,-1,1,1,0
112,112,1,TRUE,-1,1,1,0
113,113,3,TRUE,-1,1,1,0
114,114,4,TRUE,-1,1,1,0
115,115,5,TRUE,-1,1,1,0
116,116,5,TRUE,-1,1,1,0
117,117,5,TRUE,-1,1,1,0
118,118,2,TRUE,-1,1,1,0
119,119,3,TRUE,-1,1,1,0
120,120,4,TRUE,-1,1,1,0
121,121,2,TRUE,-1,1,1,0
122,122,5,TRUE,-1,1,1,0
123,123,5,TRUE,-1,1,1,0
124,124,3,TRUE,-1,1,1,0
125,125,4,TRUE,-1,1,1,0
126,126,3,TRUE,-1,1,1,0
127,127,4,TRUE,-1,1,1,0
128,128,5,TRUE,-1,1,1,0
129,129,4,TRUE,-1,1,1,0
130,130,2,TRUE,-1,1,1,0
131,131,3,TRUE,-1,1,1,0
132,132,5,TRUE,-1,1,1,0
133,133,5,TRUE,-1,1,1,0
134,134,3,TRUE,-1,1,1,0
135,135,4,TRUE,-1,1,1,0
136,136,4,TRUE,-1,1,1,0
137,137,4,TRUE,-1,1,1,0
138,138,5,TRUE,-1,1,1,0
139,139,2,TRUE,-1,1,1,0
140,140,5,TRUE,-1,1,1,0
141,141,5,TRUE,-1,1,1,0
142,142,4,TRUE,-1,1,1,0
143,143,4,TRUE,-1,1,1,0
144,144,2,TRUE,-1,1,1,0
145,145,5,TRUE,-1,1,1,0
146,146,5,TRUE,-1,1,1,0
147,147,5,TRUE,-1,1,1,0
148,148,4,TRUE,-1,1,1,0
149,149,4,TRUE,-1,1,1,0
150,150,4,TRUE,-1,1,1,0
151,151,4,TRUE,-1,1,1,0
152,152,4,TRUE,-1,1,1,0
153,153,3,TRUE,-1,1,1,0
154,154,5,TRUE,-1,1,1,0
155,155,4,TRUE,-1,1,1,0
156,156,3,TRUE,-1,1,1,0
157,157,5,TRUE,-1,1,1,0
158,158,5,TRUE,-1,1,1,0
159,159,3,TRUE,-1,1,1,0
160,160,4,TRUE,-1,1,1,0
161,161,3,TRUE,-1,1,1,0
162,162,5,TRUE,-1,1,1,0
163,163,4,TRUE,-1,1,1,0
164,164,5,TRUE,-1,1,1,0
165,165,5,TRUE,-1,1,1,0
166,166,5,TRUE,-1,1,1,0
167,167,4,TRUE,-1,1,1,0
168,168,4,TRUE,-1,1,1,0
169,169,3,TRUE,-1,1,1,0
170,170,4,TRUE,-1,1,1,0
171,171,5,TRUE,-1,1,1,0
172,172,3,TRUE,-1,1,1,0
173,173,4,TRUE,-1,1,1,0
174,174,5,TRUE,-1,1,1,0
175,175,5,TRUE,-1,1,1,0
176,176,5,TRUE,-1,1,1,0
177,177,4,TRUE,-1,1,1,0
178,178,5,TRUE,-1,1,1,0
179,179,5,TRUE,-1,1,1,0
180,180,4,TRUE,-1,1,1,0
181,181,5,TRUE,-1,1,1,0
