image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
167,167,"(111, 194)",2,True,-1
168,168,"(111, 28)",5,True,-1
169,169,"(180, 70)",5,True,-1
170,170,"(42, 70)",5,True,-1
171,171,"(111, 194)",5,True,-1
172,172,"(42, 70)",4,True,-1
173,173,"(180, 153)",6,True,-1
174,174,"(180, 70)",4,True,-1
175,175,"(111, 28)",3,True,-1
176,176,"(180, 70)",5,True,-1
177,177,"(42, 70)",5,True,-1
178,178,"(180, 153)",4,True,-1
179,179,"(111, 194)",4,True,-1
180,180,"(111, 28)",5,True,-1
181,181,"(111, 194)",3,True,-1
182,182,"(42, 153)",2,True,-1
183,183,"(42, 70)",4,True,-1
184,184,"(42, 70)",5,True,-1
185,185,"(180, 153)",4,True,-1
186,186,"(111, 28)",3,True,-1
187,187,"(111, 28)",2,True,-1
188,188,"(111, 194)",5,True,-1
189,189,"(42, 153)",5,True,-1
190,190,"(180, 70)",5,True,-1
191,191,"(42, 153)",3,True,-1
192,192,"(180, 70)",5,True,-1
193,193,"(111, 194)",2,True,-1
194,194,"(180, 153)",5,True,-1
195,195,"(180, 70)",4,True,-1
196,196,"(111, 28)",5,True,-1
197,197,"(42, 153)",5,True,-1
198,198,"(111, 194)",1,True,-1
199,199,"(111, 28)",5,True,-1
200,200,"(42, 153)",6,True,-1
201,201,"(42, 70)",4,True,-1
202,202,"(180, 153)",5,True,-1
203,203,"(180, 70)",5,True,-1
204,204,"(42, 153)",2,True,-1
205,205,"(180, 70)",5,True,-1
206,206,"(42, 70)",5,True,-1
207,207,"(111, 28)",4,True,-1
208,208,"(42, 153)",6,True,-1
209,209,"(111, 28)",4,True,-1
210,210,"(42, 70)",4,True,-1
211,211,"(42, 70)",5,True,-1
212,212,"(42, 70)",5,True,-1
213,213,"(42, 153)",4,True,-1
214,214,"(180, 70)",4,True,-1
215,215,"(180, 70)",5,True,-1
216,216,"(180, 153)",6,True,-1
217,217,"(42, 70)",5,True,-1
218,218,"(180, 153)",6,True,-1
219,219,"(180, 70)",5,True,-1
220,220,"(111, 28)",3,True,-1
221,221,"(111, 194)",2,True,-1
222,222,"(180, 153)",5,True,-1
223,223,"(111, 28)",3,True,-1
224,224,"(180, 70)",5,True,-1
225,225,"(42, 153)",5,True,-1
226,226,"(42, 153)",4,True,-1
227,227,"(42, 70)",5,True,-1
228,228,"(42, 153)",3,True,-1
229,229,"(111, 28)",4,True,-1
230,230,"(42, 153)",6,True,-1
231,231,"(42, 70)",4,True,-1
232,232,"(180, 70)",4,True,-1
233,233,"(180, 70)",5,True,-1
234,234,"(180, 70)",6,True,-1
235,235,"(42, 153)",6,True,-1
236,236,"(42, 70)",5,True,-1
237,237,"(42, 70)",5,True,-1
238,238,"(42, 153)",6,True,-1
239,239,"(42, 70)",5,True,-1
240,240,"(42, 153)",3,True,-1
241,241,"(111, 194)",5,True,-1
242,242,"(180, 70)",5,True,-1
243,243,"(111, 28)",5,True,-1
244,244,"(42, 153)",5,True,-1
245,245,"(42, 70)",5,True,-1
246,246,"(42, 70)",5,True,-1
247,247,"(180, 153)",6,True,-1
248,248,"(42, 70)",4,True,-1
249,249,"(111, 28)",4,True,-1
250,250,"(180, 153)",4,True,-1
251,251,"(42, 153)",2,True,-1
252,252,"(42, 153)",5,True,-1
253,253,"(42, 70)",6,True,-1
254,254,"(180, 153)",3,True,-1
255,255,"(180, 70)",4,True,-1
256,256,"(111, 28)",4,True,-1
257,257,"(180, 70)",5,True,-1
258,258,"(180, 70)",6,True,-1
259,259,"(42, 70)",4,True,-1
260,260,"(111, 28)",2,True,-1
261,261,"(180, 70)",5,True,-1
262,262,"(111, 194)",4,True,-1
263,263,"(111, 28)",5,True,-1
264,264,"(180, 153)",5,True,-1
265,265,"(111, 28)",2,True,-1
266,266,"(42, 70)",4,True,-1
267,267,"(111, 28)",5,True,-1
268,268,"(180, 153)",4,True,-1
269,269,"(180, 70)",4,True,-1
270,270,"(180, 70)",5,True,-1
271,271,"(42, 70)",5,True,-1
272,272,"(111, 28)",4,True,-1
273,273,"(180, 153)",3,True,-1
274,274,"(42, 153)",3,True,-1
275,275,"(111, 194)",1,True,-1
276,276,"(180, 70)",4,True,-1
277,277,"(42, 70)",3,True,-1
278,278,"(180, 70)",6,True,-1
279,279,"(111, 28)",4,True,-1
280,280,"(42, 70)",6,True,-1
281,281,"(111, 28)",2,True,-1
282,282,"(180, 70)",5,True,-1
283,283,"(42, 153)",4,True,-1
284,284,"(180, 70)",5,True,-1
