image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
1944,504,1,TRUE,-1,1,0,0
1945,505,1,TRUE,-1,1,0,0
1946,506,1,TRUE,-1,1,0,0
1947,507,1,TRUE,-1,1,0,0
1948,508,1,TRUE,-1,1,0,0
1949,509,1,TRUE,-1,1,0,0
1950,510,1,TRUE,-1,1,0,0
1951,511,1,TRUE,-1,1,0,0
1952,512,1,TRUE,-1,1,0,0
1953,513,1,TRUE,-1,1,0,0
1954,514,1,TRUE,-1,1,0,0
1955,515,1,TRUE,-1,1,0,0
1956,516,1,TRUE,-1,1,0,0
1957,517,1,TRUE,-1,1,0,0
1958,518,1,TRUE,-1,1,0,0
1959,519,1,TRUE,-1,1,0,0
1960,520,1,TRUE,-1,1,0,0
1961,521,1,TRUE,-1,1,0,0
1962,522,1,TRUE,-1,1,0,0
1963,523,1,TRUE,-1,1,0,0
1964,524,1,TRUE,-1,1,0,0
1965,525,1,TRUE,-1,1,0,0
1966,526,1,TRUE,-1,1,0,0
1967,527,1,TRUE,-1,1,0,0
1968,528,1,TRUE,-1,1,0,0
1969,529,1,TRUE,-1,1,0,0
1970,530,1,TRUE,-1,1,0,0
1971,531,1,TRUE,-1,1,0,0
1972,532,1,TRUE,-1,1,0,0
1973,533,1,TRUE,-1,1,0,0
1974,534,1,TRUE,-1,1,0,0
1975,535,1,TRUE,-1,1,0,0
1976,536,1,TRUE,-1,1,0,0
1977,537,1,TRUE,-1,1,0,0
1978,538,1,TRUE,-1,1,0,0
1979,539,1,TRUE,-1,1,0,0
1980,540,1,TRUE,-1,1,0,0
1981,541,1,TRUE,-1,1,0,0
1982,542,1,TRUE,-1,1,0,0
1983,543,1,TRUE,-1,1,0,0
1984,544,1,TRUE,-1,1,0,0
1985,545,1,TRUE,-1,1,0,0
1986,546,1,TRUE,-1,1,0,0
1987,547,1,TRUE,-1,1,0,0
1988,548,1,TRUE,-1,1,0,0
1989,549,1,TRUE,-1,1,0,0
1990,550,1,TRUE,-1,1,0,0
1991,551,1,TRUE,-1,1,0,0
1992,552,1,TRUE,-1,1,0,0
1993,553,1,TRUE,-1,1,0,0
1994,554,1,TRUE,-1,1,0,0
1995,555,1,TRUE,-1,1,0,0
